participant_name,ev,market,line,game,date
Dillon Brooks,6.23,player_rebounds_over_under,3.5,fantasy__2024-01-26__b9f8409d6b736501d3a13c02b49d75bd__player_rebounds_over_under.json,2024-01-26
Anfernee Simons,6.07,player_rebounds_over_under,3.5,fantasy__2024-01-26__91b45a8b36a95c8e27ddb07042eba39d__player_rebounds_over_under.json,2024-01-26
Jontay Porter,5.75,player_blocks_steals_over_under,1.5,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_blocks_steals_over_under.json,2024-01-26
Shai Gilgeous-Alexander,5.75,player_blocks_steals_over_under,2.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_blocks_steals_over_under.json,2024-01-26
Devin Vassell,5.75,player_assists_rebounds_over_under,8.5,fantasy__2024-01-26__91b45a8b36a95c8e27ddb07042eba39d__player_assists_rebounds_over_under.json,2024-01-26
Cole Anthony,5.75,player_assists_rebounds_over_under,5.5,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_assists_rebounds_over_under.json,2024-01-26
Bruce Brown,5.75,player_assists_rebounds_over_under,7.5,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_assists_rebounds_over_under.json,2024-01-26
Nick Richards,5.75,player_assists_rebounds_over_under,9.5,fantasy__2024-01-26__b9f8409d6b736501d3a13c02b49d75bd__player_assists_rebounds_over_under.json,2024-01-26
Jae Crowder,5.75,player_rebounds_over_under,2.5,fantasy__2024-01-26__db306f30ccdf5bfad5bf666b39d83961__player_rebounds_over_under.json,2024-01-26
Saddiq Bey,5.75,player_points_rebounds_over_under,18.5,fantasy__2024-01-26__3f46796f90363fe73044e2a9a783bd39__player_points_rebounds_over_under.json,2024-01-26
Markelle Fultz,5.740000000000002,player_assists_over_under,4.5,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_assists_over_under.json,2024-01-26
Jerami Grant,5.640000000000001,player_rebounds_over_under,4.5,fantasy__2024-01-26__91b45a8b36a95c8e27ddb07042eba39d__player_rebounds_over_under.json,2024-01-26
Jae Crowder,5.409999999999997,player_assists_points_rebounds_over_under,7.5,fantasy__2024-01-26__db306f30ccdf5bfad5bf666b39d83961__player_assists_points_rebounds_over_under.json,2024-01-26
Matisse Thybulle,5.409999999999997,player_assists_rebounds_over_under,4.5,fantasy__2024-01-26__91b45a8b36a95c8e27ddb07042eba39d__player_assists_rebounds_over_under.json,2024-01-26
Bradley Beal,5.409999999999997,player_assists_rebounds_over_under,9.5,fantasy__2024-01-26__5fd904081e3fb35e06cf4fc6c9e181dc__player_assists_rebounds_over_under.json,2024-01-26
Jusuf Nurkic,5.409999999999997,player_assists_rebounds_over_under,14.5,fantasy__2024-01-26__5fd904081e3fb35e06cf4fc6c9e181dc__player_assists_rebounds_over_under.json,2024-01-26
Chris Boucher,5.409999999999997,player_assists_rebounds_over_under,4.5,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_assists_rebounds_over_under.json,2024-01-26
Norman Powell,5.409999999999997,player_assists_rebounds_over_under,3.5,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_assists_rebounds_over_under.json,2024-01-26
Jeff Green,5.409999999999997,player_rebounds_over_under,3.5,fantasy__2024-01-26__b9f8409d6b736501d3a13c02b49d75bd__player_rebounds_over_under.json,2024-01-26
Khris Middleton,5.409999999999997,player_points_rebounds_over_under,21.5,fantasy__2024-01-26__db306f30ccdf5bfad5bf666b39d83961__player_points_rebounds_over_under.json,2024-01-26
Jae Crowder,5.409999999999997,player_assists_points_over_under,4.5,fantasy__2024-01-26__db306f30ccdf5bfad5bf666b39d83961__player_assists_points_over_under.json,2024-01-26
John Konchar,5.409999999999997,player_assists_points_over_under,8.5,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_assists_points_over_under.json,2024-01-26
Kenrich Williams,5.409999999999997,player_assists_points_over_under,5.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_assists_points_over_under.json,2024-01-26
Dennis Schroder,5.369999999999997,player_threes_over_under,1.5,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_threes_over_under.json,2024-01-26
Brandon Ingram,5.299999999999997,player_assists_over_under,6.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_assists_over_under.json,2024-01-26
Giannis Antetokounmpo,5.140000000000001,player_rebounds_over_under,12.5,fantasy__2024-01-26__db306f30ccdf5bfad5bf666b39d83961__player_rebounds_over_under.json,2024-01-26
Santi Aldama,5.060000000000002,player_assists_rebounds_over_under,7.5,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_assists_rebounds_over_under.json,2024-01-26
Brandon Miller,5.060000000000002,player_assists_points_over_under,20.5,fantasy__2024-01-26__b9f8409d6b736501d3a13c02b49d75bd__player_assists_points_over_under.json,2024-01-26
Terance Mann,5.039999999999999,player_points_over_under,8.5,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_points_over_under.json,2024-01-26
Max Strus,5.039999999999999,player_assists_over_under,3.5,fantasy__2024-01-26__db306f30ccdf5bfad5bf666b39d83961__player_assists_over_under.json,2024-01-26
Mike Conley,25.0,player_points_rebounds_over_under,12.5,fantasy__2024-01-25__5e7fe25916472fc1c04a4ecdf74034bd__player_points_rebounds_over_under.json,2024-01-25
Patrick Williams,22.97,player_assists_over_under,1.5,fantasy__2024-01-25__f67f91bcc7c5d932fdda5436b11bb256__player_assists_over_under.json,2024-01-25
