participant_name,ev,market,line,type,game,date,over_odds,under_odds
Cam Whitmore,9.409999999999997,player_assists_rebounds_over_under,6.5,under,fantasy__2024-01-21__2198a6a26216e034d141efe88923b9d4__player_assists_rebounds_over_under.json,2024-01-21,130.0,-175.0
Jarred Vanderbilt,9.409999999999997,player_assists_rebounds_over_under,5.5,over,fantasy__2024-01-21__43d2320b0bcc62b1b6b9d8fd51a5087a__player_assists_rebounds_over_under.json,2024-01-21,-175.0,130.0
D'Angelo Russell,8.619999999999997,player_assists_rebounds_over_under,8.5,over,fantasy__2024-01-21__43d2320b0bcc62b1b6b9d8fd51a5087a__player_assists_rebounds_over_under.json,2024-01-21,-170.0,125.0
Jonathan Isaac,8.350000000000001,player_blocks_over_under,0.5,under,fantasy__2024-01-21__7759ddb389b5e18be3cb67af1ea022c7__player_blocks_over_under.json,2024-01-21,125.0,-165.0
Kristaps Porzingis,7.965,player_assists_over_under,2.5,under,fantasy__2024-01-21__2198a6a26216e034d141efe88923b9d4__player_assists_over_under.json,2024-01-21,124.5,-166.0
Buddy Hield,7.765000000000001,player_rebounds_over_under,3.5,over,fantasy__2024-01-21__fd4d460e2692fd55e49ce3811ff3110e__player_rebounds_over_under.json,2024-01-21,-165.0,120.0
Jaylen Brown,7.605,player_steals_over_under,1.5,under,fantasy__2024-01-21__2198a6a26216e034d141efe88923b9d4__player_steals_over_under.json,2024-01-21,121.5,-161.5
Aaron Nesmith,7.520000000000003,player_assists_rebounds_over_under,4.5,under,fantasy__2024-01-21__fd4d460e2692fd55e49ce3811ff3110e__player_assists_rebounds_over_under.json,2024-01-21,120.0,-160.0
Caleb Martin,7.520000000000003,player_assists_rebounds_over_under,6.5,under,fantasy__2024-01-21__7759ddb389b5e18be3cb67af1ea022c7__player_assists_rebounds_over_under.json,2024-01-21,120.0,-160.0
Josh Richardson,7.520000000000003,player_assists_rebounds_over_under,3.5,under,fantasy__2024-01-21__7759ddb389b5e18be3cb67af1ea022c7__player_assists_rebounds_over_under.json,2024-01-21,120.0,-160.0
Daniel Theis,7.520000000000003,player_assists_rebounds_over_under,5.5,under,fantasy__2024-01-21__900419d018c3bba44f8457cc65dfea4a__player_assists_rebounds_over_under.json,2024-01-21,120.0,-160.0
